match_id,home team,visiting team,1st inning score,1st inning wickets,2nd inning score,2nd inning wickets,overs 1st inngs,overs 2nd innings,results,method,venue,home_importance,visitor_importance
1,KKR,RCB,174.0,8.0,177.0,3.0,20.0,16.2,RCB,complete match,Kolkata,0.286,0.286
2,SRH,RR,286.0,6.0,242.0,6.0,20.0,20.0,SRH,complete match,Hyderabad,0.286,0.286
3,CSK,MI,155.0,9.0,158.0,6.0,20.0,19.1,CSK,complete match,Chennai,0.286,0.286
4,DC,LSG,209.0,8.0,211.0,9.0,20.0,19.3,DC,complete match,Vizag,0.286,0.286
5,GT,PBKS,243.0,5.0,232.0,5.0,20.0,20.0,PBKS,complete match,Ahemdabad,0.286,0.286
6,RR,KKR,151.0,8.0,153.0,2.0,20.0,17.3,KKR,complete match,Guwahati,0.33,0.33
7,SRH,LSG,190.0,9.0,193.0,5.0,20.0,16.3,LSG,complete match,Hyderabad,0.288,0.33
8,CSK,RCB,196.0,7.0,146.0,8.0,20.0,20.0,RCB,complete match,Chennai,0.288,0.288
9,GT,MI,196.0,8.0,160.0,6.0,20.0,20.0,GT,complete match,Ahemdabad,0.33,0.33
10,DC,SRH,163.0,10.0,166.0,3.0,18.4,16.0,DC,complete match,Vizag,0.288,0.333
11,RR,CSK,182.0,9.0,176.0,6.0,20.0,20.0,RR,complete match,Guwahati,0.381,0.333
12,MI,KKR,116.0,10.0,121.0,2.0,16.2,12.5,MI,complete match,Mumbai,0.381,0.333
13,LSG,PBKS,171.0,7.0,177.0,2.0,20.0,16.2,PBKS,complete match,Lucknow,0.333,0.288
14,RCB,GT,169.0,8.0,170.0,2.0,20.0,17.5,GT,complete match,Bengaluru,0.286,0.333
15,KKR,SRH,200.0,6.0,120.0,10.0,20.0,16.4,KKR,complete match,Kolkata,0.386,0.386
16,LSG,MI,203.0,8.0,191.0,5.0,20.0,20.0,LSG,complete match,Lucknow,0.386,0.386
17,CSK,DC,183.0,6.0,158.0,5.0,20.0,20.0,DC,complete match,Chennai,0.386,0.286
18,PBKS,RR,205.0,4.0,155.0,9.0,20.0,20.0,RR,complete match,Chandigarh,0.286,0.386
19,SRH,GT,152.0,8.0,153.0,3.0,20.0,16.4,GT,complete match,Hyderabad,0.45,0.331
20,MI,RCB,221.0,5.0,209.0,9.0,20.0,20.0,RCB,complete match,Mumbai,0.45,0.331
21,KKR,LSG,238.0,3.0,234.0,7.0,20.0,20.0,LSG,complete match,Kolkata,0.386,0.386
22,PBKS,CSK,219.0,6.0,201.0,5.0,20.0,20.0,PBKS,complete match,Chandigarh,0.331,0.45
23,GT,RR,217.0,6.0,159.0,10.0,20.0,19.2,GT,complete match,Ahemdabad,0.321,0.386
24,RCB,DC,163.0,7.0,169.0,4.0,20.0,17.5,DC,complete match,Bengaluru,0.321,0.276
25,CSK,KKR,103.0,9.0,107.0,2.0,20.0,10.1,KKR,complete match,Chennai,0.528,0.452
26,LSG,GT,180.0,6.0,186.0,4.0,20.0,19.3,LSG,complete match,Lucknow,0.377,0.317
27,SRH,PBKS,245.0,6.0,247.0,2.0,20.0,18.3,SRH,complete match,Hyderabad,0.528,0.321
28,RR,RCB,173.0,4.0,175.0,1.0,20.0,17.3,RCB,complete match,Jaipur,0.452,0.377
29,DC,MI,205.0,5.0,193.0,10.0,20.0,19.0,MI,complete match,Delhi,0.27,0.528
30,LSG,CSK,166.0,7.0,168.0,5.0,20.0,19.3,CSK,complete match,Lucknow,0.375,0.625
31,PBKS,KKR,111.0,10.0,95.0,10.0,15.3,15.1,PBKS,complete match,Chandigarh,0.377,0.446
32,DC,RR,188.0,5.0,188.0,4.0,20.0,20.0,DC,super over,Delhi,0.317,0.536
33,MI,SRH,162.0,5.0,166.0,6.0,20.0,18.1,MI,complete match,Mumbai,0.536,0.536
34,RCB,PBKS,95.0,9.0,98.0,5.0,14.0,12.1,PBKS,complete match,Bengaluru,0.375,0.375
35,GT,DC,203.0,8.0,204.0,3.0,20.0,19.2,GT,complete match,Ahemdabad,0.375,0.312
36,RR,LSG,180.0,5.0,178.0,5.0,20.0,20.0,LSG,complete match,Jaipur,0.643,0.45
37,PBKS,RCB,157.0,6.0,159.0,3.0,20.0,18.5,RCB,complete match,Chandigarh,0.375,0.45
38,MI,CSK,176.0,5.0,177.0,1.0,20.0,15.4,MI,complete match,Mumbai,0.536,0.643
39,KKR,GT,198.0,3.0,159.0,9.0,20.0,20.0,GT,complete match,Kolkata,0.536,0.375
40,LSG,DC,159.0,6.0,161.0,2.0,20.0,17.5,DC,complete match,Lucknow,0.458,0.375
41,SRH,MI,143.0,8.0,146.0,3.0,20.0,15.4,MI,complete match,Hyderabad,0.643,0.55
42,RCB,RR,205.0,5.0,194.0,9.0,20.0,20.0,RCB,complete match,Bengaluru,0.458,0.786
43,CSK,SRH,155.0,5.0,154.0,10.0,19.5,18.4,SRH,complete match,Chennai,0.786,0.786
44,KKR,PBKS,201.0,4.0,7.0,0.0,20.0,1.0,no result,,Kolkata,0.655,0.458
45,MI,LSG,215.0,7.0,161.0,10.0,20.0,20.0,MI,complete match,Mumbai,0.575,0.575
46,DC,RCB,162.0,8.0,165.0,4.0,20.0,18.3,RCB,complete match,Delhi,0.367,0.46
47,RR,GT,209.0,4.0,212.0,2.0,20.0,15.5,RR,complete match,Jaipur,0.15,0.367
48,DC,KKR,204.0,9.0,190.0,9.0,20.0,20.0,KKR,complete match,Delhi,0.46,0.739
49,CSK,PBKS,190.0,10.0,194.0,6.0,19.2,19.4,PBKS,complete match,Chennai,0.15,0.517
50,RR,MI,217.0,2.0,117.0,10.0,20.0,16.1,MI,complete match,Jaipur,0.14,0.6
51,GT,SRH,224.0,6.0,186.0,6.0,20.0,20.0,GT,complete match,Ahemdabad,0.46,0.821
52,RCB,CSK,213.0,5.0,211.0,5.0,20.0,20.0,RCB,complete match,Bengaluru,0.45,0.14
53,KKR,RR,206.0,4.0,205.0,8.0,20.0,20.0,KKR,complete match,Kolkata,0.75,0.13
54,PBKS,LSG,236.0,5.0,199.0,7.0,20.0,20.0,PBKS,complete match,Chandigarh,0.525,0.643
55,SRH,DC,133.0,7.0,,,20.0,,no result,,Hyderabad,0.14,0.6
56,MI,GT,155.0,8.0,147.0,7.0,20.0,19.0,GT,DLS,Mumbai,0.625,0.45
57,KKR,CSK,179.0,6.0,183.0,8.0,20.0,19.4,CSK,complete match,Kolkata,0.744,0.13
58,RCB,KKR,,,,,,,no result,,Bengaluru,0.417,0.12
59,RR,PBKS,219.0,5.0,209.0,7.0,20.0,20.0,PBKS,complete match,Jaipur,0.12,0.521
60,DC,GT,199.0,3.0,205.0,0.0,20.0,19.0,GT,complete match,Delhi,0.446,0.417
61,LSG,SRH,205.0,7.0,206.0,4.0,20.0,18.2,SRH,complete match,Lucknow,0.893,0.13
62,CSK,RR,187.0,8.0,188.0,4.0,20.0,17.1,RR,complete match,Chennai,0.12,0.11
63,MI,DC,180.0,5.0,121.0,10.0,20.0,18.2,MI,complete match,Mumbai,0.464,0.696
64,GT,LSG,235.0,2.0,202.0,9.0,20.0,20.0,LSG,complete match,Ahemdabad,0.325,0.12
65,RCB,SRH,231.0,6.0,189.0,10.0,20.0,19.5,SRH,complete match,Bengaluru,0.487,0.12
