Player_name,Level,Role,Overall_Score,PPS_Score,Consistency_Score,Opening_Score,Middle_Score,Death_Score,Final_Phase_Score,RSI_Score,TCS_Score,FIS_Score,Auction_price,Predicted_Price,Price_Impact_Actual,Price_Impact_Predicted,Overall_Score_Grade
Vaibhav Suryavanshi,Uncapped,Batter,99.24,99.91862552,97.98460162,98.94800253,99.34247972,99.55798279,100.0,99.15995623,99.7647015,97.21900106,110,190.92980481005924,1.1084240225715438,1.9239198388760506,Very High
Ayush Mhatre,Uncapped,Batter,98.5,99.41900185,97.41108925,98.43114346,98.7344214,98.32431708,100.0,97.83431405,97.65961319,99.75245561,30,154.22241616928588,0.30456852791878175,1.5657098088252372,Very High
Priyansh Arya,Uncapped,Batter,91.71,98.90538478,97.42276999,98.38146966,97.42553836,96.38564279,100.0,97.38162606,99.16289677,30.0,380,436.2336917209127,4.143495801984517,4.756664395604762,Very High
Urvil Patel,Uncapped,Wicket Keeper,90.12,97.95369411,94.41946929,96.9105881,93.4481145,97.63243001,100.0,94.74056855,97.1941744,30.0,30,430.90591505354644,0.3328894806924101,4.781468209648762,Very High
Abishek Porel,Uncapped,Wicket Keeper,87.82,80.17399894,69.73530221,92.62257732,82.60478427,93.13152542,99.86199633,86.16945086,91.54469209,94.14122573,400,566.0529834256386,4.554771122751082,6.445604457135489,Very High
Aniket Verma,Uncapped,Batter,87.51,83.93212052,81.44784476,98.50403813,77.73024129,98.92617045,100.0,87.43151872,86.88692525,81.93519443,30,163.71596785398955,0.34281796366129585,1.8708258239514288,Very High
Mitchell Marsh,capped,All Rounder,86.64,98.92629885,97.22668325,85.80172715,98.17956257,88.77229625,90.44377116,74.89332491,95.89905563,63.28392028,340,388.760124638569,,,Very High
Dewald Brevis,capped,Batter,84.61,96.82462126,95.05724563,86.28010889,91.14408863,90.83624012,89.42748465,85.37426238,91.28851217,30.0,220,316.45643925085517,,,Very High
Yashasvi Jaiswal,capped,Batter,84.06,92.13306825,92.73387826,91.01001751,89.25442628,86.73996448,88.69484173,83.89768722,86.74530838,50.02407515,1800,950.887057259023,,,Very High
Sai Sudharsan,capped,Batter,82.76,80.10238309,81.31656386,86.81145462,91.13538424,76.11156318,83.35716038,87.39412013,93.02150878,50.02214445,850,921.9508796046983,,,Very High
Phil Salt,capped,Wicket Keeper,81.54,88.84964647,78.3179861,83.54811323,82.34832208,79.76355907,82.01091882,77.81690503,89.13167933,63.46206088,1150,979.9468930016849,,,Very High
Josh Inglis,capped,Wicket Keeper,80.53,92.32447577,91.14712653,89.42268862,88.8954198,88.09145436,88.83417533,72.5134838,78.88224914,63.91466907,260,607.0860544858392,,,Very High
Heinrich Klaasen,capped,Wicket Keeper,80.39,80.70092129,97.48458132,89.72974527,96.31785758,92.82132384,92.3693303,84.28590932,82.4365834,30.0,2300,1827.5890346044162,,,Very High
Prabhsimran Singh,capped,Wicket Keeper,78.69,86.42921503,70.97977936,81.1363071,81.29915725,80.89215736,81.07830373,81.69365656,92.15189396,30.0,400,647.2454121383123,,,High
Virat Kohli,Elite,Batter,77.04,87.09199988,89.11973482,78.3567392,84.04618585,69.24641341,78.62376976,73.43119893,78.98841454,51.61982541,2100,1714.8814941603043,3.407320872274143,2.782453099299559,High
Ajinkya Rahane,capped,Batter,74.97,80.18795235,79.05701363,82.64515177,78.39388923,79.86989512,80.54420448,75.13235527,84.70411546,30.0,150,240.29970799778616,,,High
Shaik Rasheed,Uncapped,Batter,74.8,71.05453463,60.32385327,86.39768376,72.29880911,85.14218194,82.08256024,66.34597222,83.36864034,83.73254567,30,110.98074000013607,0.40106951871657753,1.48369973262214,High
