Player_id,Player_name,Team,Role,Level,Nationality,Auction_price,Innings_Batted,Total_Runs,Batting_Avg,Batting_SR,Matches_Bowled,Total_Wickets,Bowling_Avg,Bowling_Econ,Batting_type,Bowling type,Total_4s,Total_6s,Bowling_SR,PPS_Score,Consistency_Score,Opening_Score,Middle_Score,Death_Score,Final_Phase_Score,RSI_Score,TCS_Score,FIS_Score,Overall_Score
RRB1,Vaibhav Suryavanshi,RR,Batter,Uncapped,India,110,7,252,36,206.56,0,0,,,Left-hand,Right Off-Spin,18,24,,99.91862552,97.98460162,98.94800253,99.34247972,99.55798279,100,99.15995623,99.7647015,97.21900106,99.24
CSKB5,Ayush Mhatre,CSK,Batter,Uncapped,India,30,7,240,34.29,188.98,0,0,,,Right-hand,Right Off-Spin,27,11,,99.41900185,97.41108925,98.43114346,98.7344214,98.32431708,100,97.83431405,97.65961319,99.75245561,98.5
PBKSB5,Priyansh Arya,PBKS,Batter,Uncapped,India,380,14,424,30.29,191.86,0,0,,,Left-hand,Right Off-Spin,48,25,,98.90538478,97.42276999,98.38146966,97.42553836,96.38564279,100,97.38162606,99.16289677,30,91.71
CSKW4,Urvil Patel,CSK,Wicket Keeper,Uncapped,India,30,3,68,22.67,212.5,0,0,,,Right-hand,,5,6,,97.95369411,94.41946929,96.9105881,93.4481145,97.63243001,100,94.74056855,97.1941744,30,90.12
DCW2,Abishek Porel,DC,Wicket Keeper,Uncapped,India,400,13,301,25.08,146.83,0,0,,,Left-hand,Left Off-Spin,28,12,,80.17399894,69.73530221,92.62257732,82.60478427,93.13152542,99.86199633,86.16945086,91.54469209,94.14122573,87.82
SRHB5,Aniket Verma,SRH,Batter,Uncapped,India,30,12,236,26.22,166.2,0,0,,,Right-hand,Right Medium-Fast,12,20,,83.93212052,81.44784476,98.50403813,77.73024129,98.92617045,100,87.43151872,86.88692525,81.93519443,87.51
LSGA2,Mitchell Marsh,LSG,All Rounder,capped,Australia,340,13,627,48.23,163.71,0,0,,,Right-hand,Right Medium,56,35,,98.92629885,97.22668325,85.80172715,98.17956257,88.77229625,90.44377116,74.89332491,95.89905563,63.28392028,86.64
CSKB6,Dewald Brevis,CSK,Batter,capped,South Africa,220,6,225,37.5,180,0,0,,,Right-hand,Right Leg-Spin,13,17,,96.82462126,95.05724563,86.28010889,91.14408863,90.83624012,89.42748465,85.37426238,91.28851217,30,84.61
RRB3,Yashasvi Jaiswal,RR,Batter,capped,India,1800,14,559,43,159.71,0,0,,,Left-hand,Right Leg-Spin,60,28,,92.13306825,92.73387826,91.01001751,89.25442628,86.73996448,88.69484173,83.89768722,86.74530838,50.02407515,84.06
GTB1,Sai Sudharsan,GT,Batter,capped,India,850,14,676,52,155.76,0,0,,,Left-hand,Right Leg-Spin,78,20,,80.10238309,81.31656386,86.81145462,91.13538424,76.11156318,83.35716038,87.39412013,93.02150878,50.02214445,82.76
RCBW1,Phil Salt,RCB,Wicket Keeper,capped,England,1150,11,331,30.09,171.5,0,0,,,Right-hand,Right Off-Spin,40,18,,88.84964647,78.3179861,83.54811323,82.34832208,79.76355907,82.01091882,77.81690503,89.13167933,63.46206088,81.54
PBKSW2,Josh Inglis,PBKS,Wicket Keeper,capped,Australia,260,8,197,32.83,164.17,0,0,,,Right-hand,Right Off-Spin,20,10,,92.32447577,91.14712653,89.42268862,88.8954198,88.09145436,88.83417533,72.5134838,78.88224914,63.91466907,80.53
SRHW1,Heinrich Klaasen,SRH,Wicket Keeper,capped,South Africa,2300,13,487,44.27,172.7,0,0,,,Right-hand,Right Off-Spin,42,25,,80.70092129,97.48458132,89.72974527,96.31785758,92.82132384,92.3693303,84.28590932,82.4365834,30,80.39
PBKSW1,Prabhsimran Singh,PBKS,Wicket Keeper,capped,India,400,14,499,35.64,165.78,0,0,,,Right-hand,,53,27,,86.42921503,70.97977936,81.1363071,81.29915725,80.89215736,81.07830373,81.69365656,92.15189396,30,78.69
RCBB1,Virat Kohli,RCB,Batter,Elite,India,2100,13,602,60.2,147.91,0,0,,,Right-hand,Right Unorthodox,60,19,,87.09199988,89.11973482,78.3567392,84.04618585,69.24641341,78.62376976,73.43119893,78.98841454,51.61982541,77.04
KKRB2,Ajinkya Rahane,KKR,Batter,capped,India,150,12,390,35.45,147.73,0,0,,,Right-hand,Right Off-Spin,35,20,,80.18795235,79.05701363,82.64515177,78.39388923,79.86989512,80.54420448,75.13235527,84.70411546,30,74.97
CSKB3,Shaik Rasheed,CSK,Batter,Uncapped,India,30,5,71,14.2,112.7,0,0,,,Right-hand,Right Leg-Spin,9,2,,71.05453463,60.32385327,86.39768376,72.29880911,85.14218194,82.08256024,66.34597222,83.36864034,83.73254567,74.8
LSGB3,Aiden Markram,LSG,Batter,capped,South Africa,200,13,445,34.23,148.83,5,4,25.5,9.27,Right-hand,Right Off-Spin,38,28,16.5,78.08874077,68.23357574,71.21893779,75.52983817,71.97223929,72.64126372,77.11915204,91.51867117,30,74.59
RCBA4,Jacob Bethell,RCB,All Rounder,capped,England,260,2,67,33.5,171.79,0,0,,,Left-hand,Left Off-Spin,9,3,,89.12628682,83.87952512,89.60167712,86.74080649,85.17127572,85.9560679,66.49295553,89.49579944,30,74.54
MIB2,Surya kumar Yadav,MI,Batter,Elite,India,1635,14,640,71.11,167.98,0,0,,,Right-hand,Right Off-Spin,64,32,,74.11834835,90.38524939,76.74166335,85.48953079,73.73500625,78.06273187,77.24561864,71.3934483,48.51487515,73.88
GTB2,Shubman Gill,GT,Batter,Elite,India,1650,14,649,54.08,156.39,0,0,,,Right-hand,Right Off-Spin,62,24,,75.18367483,71.39053814,72.70904038,77.32043862,70.43140203,72.87249904,75.16829177,78.93523124,57.01188332,73.57
KKRB1,Manish Pandey,KKR,Batter,capped,India,75,3,92,46,141.54,0,0,,,Right-hand,Right Off-Spin,5,5,,73.81734272,82.62303928,78.34570295,82.05610677,81.27788884,80.02844686,71.64288903,70.81758504,64.11964207,73.37
DCB3,Sameer Rizvi,DC,Batter,capped,India,95,4,119,39.67,148.75,0,0,,,Right-hand,Right Off-Spin,11,7,,66.2062066,86.37233391,83.47089966,87.59655443,85.25391104,85.19189661,75.94779038,69.72746582,54.85334057,73.25
DCB2,Karun Nair,DC,Batter,capped,India,50,8,198,24.75,172.17,0,0,,,Right-hand,Right Off-Spin,24,10,,77.16990544,66.48900086,73.56256399,68.84178381,69.83363781,70.90744815,73.09796624,78.76471826,62.40626926,73.07
RRB4,Shubham Dubey,RR,Batter,Uncapped,India,80,8,106,26.5,160.61,0,0,,,Left-hand,Right Off-Spin,6,8,,62.98726534,71.13319716,93.52446028,73.80214766,94.20957859,99.70304292,76.5437541,60.75043116,67.02692927,72.54
SRHB1,Atharva Taide,SRH,Batter,Uncapped,India,30,1,13,13,144.44,0,0,,,Left-hand,Left Off-Spin,3,0,,72.26823865,72.27153246,97.18554422,73.87875155,92.54718397,100,68.83570865,76.84021387,30,72.49
RRW1,Sanju Samson,RR,Wicket Keeper,capped,India,1800,9,285,31.67,139.02,0,0,,,Right-hand,Right Off-Spin,27,13,,75.30218317,75.58501558,77.31203195,80.04603858,77.29362685,78.06617285,73.12261689,80.23495225,30,71.9
SRHB2,Travis Head,SRH,Batter,Elite,Australia,1400,12,374,31.17,162.61,0,0,,,Left-hand,Right Off-Spin,50,15,,86.89062388,71.14799454,72.54568157,73.30124354,70.6436214,72.1118936,67.23826895,75.97546278,48.50613441,71.62
RRW2,Dhruv Jurel,RR,Wicket Keeper,capped,India,1400,13,333,37,156.34,0,0,,,Right-hand,,22,22,,73.62287777,79.4793201,81.05704264,77.21442252,85.12837515,81.52203741,71.55792448,68.59762341,49.96082632,71.25
RCBB6,Devdutt Padikkal,RCB,Batter,capped,India,200,10,247,27.44,150.61,0,0,,,Right-hand,Right Off-Spin,21,14,,75.25425128,62.97147266,71.08800346,70.95033564,71.29117014,71.12451981,69.82253008,79.52248083,50.02214445,70.59
RCBW2,Jitesh Sharma,RCB,Wicket Keeper,capped,India,1100,10,237,39.5,171.74,0,0,,,Right-hand,Right Off-Spin,22,15,,66.27917333,90.38835446,86.82082093,88.19005356,88.04907293,87.59563385,73.87552425,58.82739857,50.05800587,70.3
