match_id,Team_Name,Inning,Player Name,Runs,Balls,fours,sixes,Out Type,wicket bowler id,wicket bowler name,catcher name,Fall of Wicket,Over of wicket,Run out name,strike Rate,playerid,Role,Nationality,Auction_price,Batting_type,Bowling type,Level
1,KKR,1,quinton de kock,4,5,1,0,catch,RCBO1,josh hazlewood,Jitesh Sharma,4.0,0.5,,80.0,KKRW1,Wicket Keeper,South Africa,360,Left-hand,,capped
1,KKR,1,sunil narine,44,26,5,3,catch,RCBO3,rasikh dar salam,Jitesh Sharma,107.0,9.6,,169.23076923076923,KKRA5,All Rounder,West Indies,1200,Left-hand,Right Off-Spin,Elite
1,KKR,1,ajinkya rahane,56,31,6,4,catch,RCBA1,krunal pandya,Rasikh Dar Salam,109.0,10.3,,180.64516129032256,KKRB2,Batter,India,150,Right-hand,Right Off-Spin,capped
1,KKR,1,venkatesh iyer,6,7,1,0,bowled,RCBA1,krunal pandya,,125.0,12.1,,85.71428571428571,KKRA3,All Rounder,India,2375,Left-hand,Right Off-Spin,Elite
1,KKR,1,angkrish raghuvanshi,30,22,2,1,catch,RCBO5,yash dayal,Jitesh Sharma,145.0,14.6,,136.36363636363635,KKRB4,Batter,India,300,Right-hand,Left Off-Spin,capped
1,KKR,1,rinku singh,12,10,1,0,bowled,RCBA1,krunal pandya,,150.0,15.4,,120.0,KKRB3,Batter,India,1300,Left-hand,Right Off-Spin,capped
1,KKR,1,andre russell,4,3,1,0,bowled,RCBO4,suyash sharma,,168.0,18.5,,133.33333333333331,KKRA6,All Rounder,West Indies,1200,Right-hand,Right Medium-Fast,capped
1,KKR,1,ramandeep singh,6,9,0,0,not out,,,,,,,66.66666666666666,KKRA2,All Rounder,India,400,Right-hand,Right Medium-Fast,capped
1,KKR,1,harshit rana,5,6,1,0,catch,RCBO1,josh hazlewood,Jitesh Sharma,173.0,19.5,,83.33333333333334,KKRO4,Bowler,India,400,Right-hand,Right Fast,capped
1,KKR,1,spencer johnson,1,1,0,0,not out,,,,,,,100.0,KKRO6,Bowler,Australia,280,Left-hand,Left Fast,capped
1,RCB,2,phil salt,56,31,9,2,catch,KKRO1,varun chakaravarthy,Spencer Johnson,95.0,8.3,,180.64516129032256,RCBW1,Wicket Keeper,England,1150,Right-hand,Right Off-Spin,capped
1,RCB,2,virat kohli,59,36,4,3,not out,,,,,,,163.88888888888889,RCBB1,Batter,India,2100,Right-hand,Right Unorthodox,Elite
