matchId,Bowler_id,Team,bowler name,Wickets,Runs,Innings,Overs,Maidin,Dots,economy,balls
1,RCBO1,RCB,josh hazlewood,2,22,1,4.0,0,16,5.5,24
1,RCBO3,RCB,rasikh dar salam,1,35,1,3.0,0,9,11.67,18
1,RCBO5,RCB,yash dayal,1,25,1,3.0,0,7,8.33,18
1,RCBO4,RCB,suyash sharma,1,47,1,4.0,0,8,11.75,24
1,RCBA2,RCB,liam livingstone,0,14,1,2.0,0,2,7.0,12
1,RCBA1,RCB,krunal pandya,3,29,1,4.0,0,8,7.25,24
1,KKRO3,KKR,vaibhav arora,1,42,2,3.0,0,4,14.0,18
1,KKRO6,KKR,spencer johnson,0,31,2,2.2,0,7,14.09,14
1,KKRO1,KKR,varun chakaravarthy,1,43,2,4.0,0,7,10.75,24
1,KKRO4,KKR,harshit rana,0,32,2,3.0,0,4,10.67,18
1,KKRA5,KKR,sunil narine,1,27,2,4.0,0,5,6.75,24
2,RRO7,RR,fazalhaq farooqi,0,49,1,3.0,0,3,16.33,18
2,RRO6,RR,maheesh theekshana,2,52,1,4.0,0,8,13.0,24
2,RRO9,RR,jofra archer,0,76,1,4.0,0,1,19.0,24
2,RRO11,RR,sandeep sharma,1,51,1,4.0,0,5,12.75,24
2,RRB5,RR,nitish rana,0,9,1,1.0,0,0,9.0,6
2,RRO2,RR,tushar deshpande,3,44,1,4.0,0,8,11.0,24
2,SRHO3,SRH,mohammad shami,1,33,2,3.0,0,8,11.0,18
2,SRHO6,SRH,simarjeet singh,2,46,2,3.0,0,8,15.33,18
2,SRHO2,SRH,pat cummins,0,60,2,4.0,0,4,15.0,24
2,SRHA2,SRH,abhishek sharma,0,17,2,2.0,0,6,8.5,12
2,SRHO9,SRH,adam zampa,1,48,2,4.0,0,7,12.0,24
2,SRHO4,SRH,harshal patel,2,34,2,4.0,0,7,8.5,24
3,CSKO8,CSK,khaleel ahmed,3,29,1,4.0,0,15,7.25,24
3,CSKA8,CSK,sam curran,0,13,1,1.0,0,2,13.0,6
3,CSKO6,CSK,nathan ellis,1,38,1,4.0,0,6,9.5,24
3,CSKA9,CSK,ravichandran ashwin,1,31,1,4.0,0,6,7.75,24
3,CSKA6,CSK,ravindra jadeja,0,21,1,3.0,0,8,7.0,18
3,CSKO7,CSK,noor ahmad,4,18,1,4.0,0,12,4.5,24
3,MIO5,MI,trent boult,0,27,2,3.0,0,4,9.0,18
3,MIO7,MI,deepak chahar,1,18,2,2.0,0,5,9.0,12
3,MIO6,MI,v satyanarayana penmetsa,0,13,2,1.0,0,0,13.0,6
3,MIA6,MI,mitchell santner,0,24,2,2.1,0,5,11.43,13
3,MIA4,MI,will jacks,1,32,2,4.0,0,7,8.0,24
3,MIO11,MI,vignesh puthur,3,32,2,4.0,0,9,8.0,24
3,MIB4,MI,naman dhir,0,12,2,3.0,0,7,4.0,18
4,DCO8,DC,mitchell starc,3,42,1,4.0,0,9,10.5,24
4,DCA3,DC,axar patel,0,18,1,3.0,0,7,6.0,18
4,DCO1,DC,vipraj nigam,1,35,1,2.0,0,3,17.5,12
4,DCO6,DC,mukesh kumar,1,22,1,2.0,0,4,11.0,12
4,DCO2,DC,kuldeep yadav,2,20,1,4.0,0,15,5.0,24
4,DCO4,DC,mohit sharma,0,42,1,4.0,0,7,10.5,24
4,DCW1,DC,tristan stubbs,0,26,1,1.0,0,1,26.0,6
4,LSGA8,LSG,shardul thakur,2,19,2,2.0,0,5,9.5,12
4,LSGO3,LSG,manimaran siddharth,2,39,2,4.0,0,9,9.75,24
4,LSGO8,LSG,digvesh rathi,2,31,2,4.0,0,10,7.75,24
