Fielder Name,Feilder Team,Match_id,batsman ,Batsman_team,Bowl detail,inning,Catch Level,fielder_id
suyash sharma,RCB,1,Quinton De Kock,KKR,0.4,1,easy,RCBO4
ramandeep singh,KKR,1,Virat Kolhi,RCB,5.5,2,Hard,KKRA2
mohammad shami,SRH,2,Sanju Samson,RR,11.5,2,Moderate,SRHO3
pat cummins,SRH,2,Shimron Hetmyer,RR,19.5,2,Moderate,SRHO2
shivam dube,CSK,3,Surya Kumar Yadav,MI,2.3,1,Hard,CSKA1
ravichandran ashwin,CSK,3,Surya Kumar Yadav,MI,9.5,1,Moderate,CSKA9
sameer rizvi,DC,4,Nicholas Pooran,LSG,6.5,1,easy,DCB3
rashid khan,GT,5,Priyansh Arya,PBKS,1.4,1,Moderate,GTA7
kagiso rabada,GT,5,Shreyas Iyer,PBKS,16.4,1,Moderate,GTO5
azmatullah omarzai,PBKS,5,Sai Sudharsan,GT,6.6,2,Moderate,PBKSA8
shreyas iyer,PBKS,5,Sai Sudharsan,GT,10.5,2,Hard,PBKSB3
harshit rana,KKR,6,Yashasvi Jaiswal,RR,4.6,1,Moderate,KKRO4
venkatesh iyer,KKR,6,Shimron Hetmyer,RR,17.1,1,Moderate,KKRA3
ravi bishnoi,LSG,7,Travis Head,SRH,5.1,1,Moderate,LSGO1
nicholas pooran,LSG,7,Travis Head,SRH,5.5,1,Moderate,LSGW2
deepak hooda,CSK,8,Rajat Patidar,RCB,11.3,1,easy,CSKA3
rahul tripathi,CSK,8,Rajat Patidar,RCB,12.1,1,Hard,CSKB4
khaleel ahmed,CSK,8,Rajat Patidar,RCB,12.5,1,Moderate,CSKO8
prasidh krishna,GT,9,Mitchell Santner,MI,18.6,2,Hard,GTO7
abishek porel,DC,10,Aniket Verma,SRH,5.2,1,Moderate,DCW2
aniket verma,SRH,10,Jake Fraser-McGurk,DC,3.5,2,Hard,SRHB5
pat cummins,SRH,10,Jake Fraser-McGurk,DC,4.5,2,Hard,SRHO2
jamie overton,CSK,11,Shimron Hetmyer,RR,15.2,1,Moderate,CSKO1
mitchell santner,MI,12,Venkatesh Iyer,KKR,3.3,1,Hard,MIA6
ashwani kumar,MI,12,Venkatesh Iyer,KKR,4.6,1,easy,MIO2
deepak chahar,MI,12,Rinku Singh ,KKR,7.6,1,Moderate,MIO7
ashwani kumar,MI,12,Ramandeep Singh,KKR,14.5,1,Moderate,MIO2
mitchell marsh,LSG,13,Priyansh Arya,PBKS,2.2,2,Hard,LSGA2
jos buttler,GT,14,Phil Salt,RCB,0.5,1,easy,GTW4
rahul tewatia,GT,14,Liam Livingstone,RCB,10.5,1,Moderate,GTA2
nitish kumar reddy,SRH,15,Angkrish Raghuvanshi,KKR,11.1,1,easy,SRHA1
andre russell,KKR,15,Kamindu Mendis,SRH,2.6,2,easy,KKRA6
akash deep,LSG,16,Tilak Varma,MI,15.2,2,Hard,LSGO2
ms dhoni,CSK,17,Abishek Porel,DC,1.4,1,Moderate,CSKW2
mukesh choudhary,CSK,17,K L Rahul,DC,18.3,1,easy,CSKO5
yuzvendra chahal,PBKS,18,Shimron Hetmyer,RR,16.5,1,easy,PBKSO3
marco jansen,PBKS,18,Riyan Parag,RR,17.4,1,Hard,PBKSA9
dhruv jurel,RR,18,Nehal Wadhera,PBKS,4.4,2,Moderate,RRW2
krunal pandya,RCB,20,Surya Kumar Yadav,MI,10.5,2,Moderate,RCBA1
yash dayal,RCB,20,Surya Kumar Yadav,MI,11.2,2,Moderate,RCBO5
khaleel ahmed,CSK,22,Priyansh Arya,PBKS,0.2,1,Hard,CSKO8
