Player_name,Level,Role,Metric,Score
Vaibhav Suryavanshi,Uncapped,Batter,Consistency,97.98460162
Ayush Mhatre,Uncapped,Batter,Consistency,97.41108925
Priyansh Arya,Uncapped,Batter,Consistency,97.42276999
Urvil Patel,Uncapped,Wicket Keeper,Consistency,94.41946929
Abishek Porel,Uncapped,Wicket Keeper,Consistency,69.73530221
Aniket Verma,Uncapped,Batter,Consistency,81.44784476
Mitchell Marsh,capped,All Rounder,Consistency,97.22668325
Dewald Brevis,capped,Batter,Consistency,95.05724563
Yashasvi Jaiswal,capped,Batter,Consistency,92.73387826
Sai Sudharsan,capped,Batter,Consistency,81.31656386
Phil Salt,capped,Wicket Keeper,Consistency,78.3179861
Josh Inglis,capped,Wicket Keeper,Consistency,91.14712653
Heinrich Klaasen,capped,Wicket Keeper,Consistency,97.48458132
Prabhsimran Singh,capped,Wicket Keeper,Consistency,70.97977936
Virat Kohli,Elite,Batter,Consistency,89.11973482
Ajinkya Rahane,capped,Batter,Consistency,79.05701363
Shaik Rasheed,Uncapped,Batter,Consistency,60.32385327
Aiden Markram,capped,Batter,Consistency,68.23357574
Jacob Bethell,capped,All Rounder,Consistency,83.87952512
Surya kumar Yadav,Elite,Batter,Consistency,90.38524939
Shubman Gill,Elite,Batter,Consistency,71.39053814
Manish Pandey,capped,Batter,Consistency,82.62303928
Sameer Rizvi,capped,Batter,Consistency,86.37233391
Karun Nair,capped,Batter,Consistency,66.48900086
Shubham Dubey,Uncapped,Batter,Consistency,71.13319716
Atharva Taide,Uncapped,Batter,Consistency,72.27153246
Sanju Samson,capped,Wicket Keeper,Consistency,75.58501558
Travis Head,Elite,Batter,Consistency,71.14799454
Dhruv Jurel,capped,Wicket Keeper,Consistency,79.4793201
Devdutt Padikkal,capped,Batter,Consistency,62.97147266
Jitesh Sharma,capped,Wicket Keeper,Consistency,90.38835446
Shreyas Iyer,Elite,Batter,Consistency,70.46676487
Nehal Wadhera,capped,Batter,Consistency,55.61530575
Ryan Rickelton,capped,Wicket Keeper,Consistency,65.88565542
Rohit Sharma,Elite,Batter,Consistency,54.38463332
Nicholas Pooran,Elite,Wicket Keeper,Consistency,65.15007395
Ishan Kishan,capped,Wicket Keeper,Consistency,80.74308731
Vipraj Nigam,Uncapped,Bowler,Consistency,85.8178729
Devon Conway,capped,Wicket Keeper,Consistency,65.49395201
Rajat Patidar,capped,Batter,Consistency,58.25741949
Abhishek Sharma,capped,All Rounder,Consistency,69.60037508
Faf du Plessis,capped,Batter,Consistency,53.84906316
Angkrish Raghuvanshi,capped,Batter,Consistency,58.83965637
Tilak Varma,capped,Batter,Consistency,54.11824468
Sediqullah Atal,capped,Batter,Consistency,66.50521711
Jos Buttler,Elite,Wicket Keeper,Consistency,62.23596209
Riyan Parag,capped,All Rounder,Consistency,57.86673691
Ruturaj Gaikwad,capped,Batter,Consistency,53.08542361
Tristan Stubbs,capped,Wicket Keeper,Consistency,58.4199541
Ayush Badoni,capped,All Rounder,Consistency,59.77483628
K L Rahul,Elite,Wicket Keeper,Consistency,64.06613539
Nitish Rana,capped,Batter,Consistency,51.70651557
